Rec_number,Com_number,MAU_end_T,GA_end_T,Outcome_T,Gesture_record,Coder,MAU_value,GA_value,G_start_T,G_end_T
R200770,200332,595.04,596.662,603.8,Tch_objgd,CG,MAU_in,GA_stop_in,593.1,597.093
R200480,200231,371.373,372.666,372.665,Prs_dir,CG,MAU_in,GA_stop_in,369.3999999999999,372.666
R200252,200119,474.42,478.4270000000001,489.09999999999997,Lean_in,CG,MAU_in,GA_stop_in,473.24,480.25
R201608,200859,210.04,210.04,211.76,Lunge,CG,MAU_GA_in,MAU_GA_in,209.37800000000001,210.65800000000002
R200691,200317,58.973,59.079,61.039,Push,CG,MAU_in,GA_stop_in,58.808,59.799
R201637,200877,108.904,109.639,111.81,Push,CG,MAU_in,GA_stop_in,108,109.72999999999999
R201281,200565,626.32,627.334,627.62,Push_dir,CG,MAU_in,GA_stop_in,625.72,627.8
R200441,200205,277.53,278.863,279.1,Push_dir,CG,MAU_in,GA_stop_in,277.171,279.075
R200428,200199,73.89,73.89,74.94,Hit_rcp_sft,CG,MAU_GA_in,MAU_GA_in,73.039,74.94
R200517,200247,282.08,284.686,284.742,Prs_dir,CG,MAU_in,GA_stop_in,277.368,284.686
R200396,200181,7.67999999999999,8.177,8.259,Pull,CG,MAU_in,GA_stop_in,6.526,8.24
R200525,200254,589.88,595.64,595.64,Prs_dir,CG,MAU_in,GA_stop_in,585.383,595.64
R200521,200250,139.413,140.748,141.666,Push_dir,CG,MAU_in,GA_stop_in,138.813,141.213
R201254,200519,99.24,102.96,102.96,Prs,CG,MAU_in,GA_stop_in,96.28,102.96
R200563,200270,312.52,314.04,314.04,Prs_dir,CG,MAU_in,GA_stop_in,309.483,314.04
R200993,200433,48.74,49.96,49.97,Prs_dir,CG,MAU_in,GA_stop_in,44.574999999999996,49.966
R200543,200261,53.86999999999999,58.321999999999996,58.321999999999996,Prs_dir,CG,MAU_in,GA_stop_in,51.675,58.321999999999996
R200014,200008,608.132,612.22,612.238,Prs_dir,CG,MAU_in,GA_stop_in,605.169,612.22
R200018,200012,147.285,149.809,149.809,Prs_dir,CG,MAU_in,GA_stop_in,143,149.809
R200984,200418,81.04,81.321,81.866,Push_dir,CG,MAU_in,GA_stop_in,80.521,81.56
R202500,201503,38,38,43.8,Lunge,CG,MAU_GA_in,MAU_GA_in,36.6,40.2
R202845,201716,15.573,21.56,21.56,Prs_dir,CG,MAU_in,GA_stop_in,13.09999999999999,21.56
R201718,200927,291.8,325.44,326.2,Prs,CG,MAU_in,GA_stop_in,288.8,326.2
R202887,201757,508.92,510.64,511.29400000000004,Pull_dir,CG,MAU_in,GA_stop_in,507.4,510.773
R201796,200963,3.52,4.3,6.62,Bite,CG,MAU_in,GA_stop_in,2.14,4.987
R201813,200976,39.34,39.34,43.08,Grab,CG,MAU_GA_in,MAU_GA_in,38.72,39.593
R202579,201556,265.28,265.666,265.666,Prs_dir,CG,MAU_in,GA_stop_in,261,265.666
R202936,201798,52.625,54.883,54.883,Loc_stiff_walk,CG,MAU_in,GA_stop_in,51.2,55.58599999999999
R201445,201713,107.32,108.066,108.03999999999999,Prs_dir,CG,MAU_in,GA_stop_in,103.706,108.066
R202943,201808,1127.2,1131.12,1131.12,Prs_dir,CG,MAU_in,GA_stop_in,1123.12,1131.12
R202659,201613,308.435,312.64,312.747,Prs_dir,CG,MAU_in,GA_stop_in,303.155,312.747
R203046,201886,186.26000000000002,186.26000000000002,186.26100000000002,Prs_dir,CG,MAU_GA_in,MAU_GA_in,180.2,186.26100000000002
R202953,201819,39.72,40.394,50.04,Push_dir,CG,MAU_in,GA_stop_in,38.72,40.76
R202156,201119,158.32,162.722,162.8,Prs_dir,CG,MAU_in,GA_stop_in,154.9,162.8
R202140,201111,253.72,260.322,260.38,Prs_dir,CG,MAU_in,GA_stop_in,247.5,260.38
R203242,202062,272.6,273.31,275.81,Stiff_stance,CG,MAU_in,GA_stop_in,269,273.31
R203178,201990,81.52,81.728,83.06,Tch,CG,MAU_in,GA_stop_in,80.56,82.18
R203207,202026,18.1,25.06,25.06,Prs_dir,CG,MAU_in,GA_stop_in,13.719999999999999,25.06
R203150,201946,39.6,84.189,84.4,Prs_dir,CG,MAU_in,GA_stop_in,36.4,84.4
R203168,201969,46.093,47.705999999999996,48.025999999999996,Tch,CG,MAU_in,GA_stop_in,44.98,47.873
