Rec_number,MAU_duration.xx1,GA_duration.xx1,GA.outcome.lat.xx1,MAU.outcome.lat.xx1,Outcome_T.xx1,GA_end_T.xx1,MAU_end_T.xx1,MAU_duration.xx2,GA_duration.xx2,GA.outcome.lat.xx2,MAU.outcome.lat.xx2,Outcome_T.xx2,GA_end_T.xx2,MAU_end_T.xx2
R200014,2.96,7.05,0.02,4.11,612.238,612.22,608.132,2.67,7.05,-0.01,4.37,612.213,612.22,607.839
R200018,4.28,6.81,0,2.52,149.809,149.809,147.285,4.16,6.81,-0,2.65,149.806,149.809,147.156
R200252,1.18,5.19,10.67,14.68,489.09999999999997,478.4270000000001,474.42,0.91,5.09,10.74,14.92,489.072,478.332,474.155
R200396,1.15,1.65,0.08,0.58,8.259,8.177,7.67999999999999,1.17,1.71,-0,0.55,8.236,8.24,7.691
R200428,0.85,0.85,1.05,1.05,74.94,73.89,73.89,0.85,0.85,1.05,1.05,74.937,73.887,73.887
R200441,0.36,1.69,0.24,1.57,279.1,278.863,277.53,0.42,1.72,0.21,1.5,279.093,278.886,277.59
R200480,1.97,3.27,-0,1.29,372.665,372.666,371.373,1.93,3.26,0.01,1.33,372.666,372.66,371.334
R200517,4.71,7.32,0.06,2.66,284.742,284.686,282.08,4.7,7.31,0.04,2.65,284.72,284.68,282.067
R200521,0.6,1.94,0.92,2.25,141.666,140.748,139.413,0.89,1.98,0.87,1.96,141.663,140.793,139.703
R200525,4.5,10.26,0,5.76,595.64,595.64,589.88,4.39,10.26,0.04,5.91,595.679,595.64,589.771
R200543,2.19,6.65,0,4.45,58.321999999999996,58.321999999999996,53.86999999999999,2.3,6.65,0,4.35,58.322,58.322,53.975
R200563,3.04,4.56,0,1.52,314.04,314.04,312.52,3.08,4.56,0,1.48,314.04,314.04,312.561
R200691,0.16,0.27,1.96,2.07,61.039,59.079,58.973,0.41,0.76,1.47,1.82,61.037,59.571,59.22
R200770,1.94,3.56,7.14,8.76,603.8,596.662,595.04,2.25,3.46,7.42,8.63,603.983,596.562,595.349
R200984,0.52,0.8,0.55,0.83,81.866,81.321,81.04,0.46,0.84,0.51,0.89,81.869,81.363,80.977
R200993,4.17,5.39,0.01,1.23,49.97,49.96,48.74,2.07,5.38,0,3.31,49.96,49.96,46.65
R201254,2.96,6.68,0,3.72,102.96,102.96,99.24,2.95,6.68,0,3.73,102.96,102.96,99.229
R201281,0.6,1.61,0.29,1.3,627.62,627.334,626.32,0.57,1.64,0.2,1.26,627.552,627.356,626.289
R201445,3.61,4.36,-0.03,0.72,108.03999999999999,108.066,107.32,3.43,4.36,0,0.93,108.066,108.066,107.134
R201608,0.66,0.66,1.72,1.72,211.76,210.04,210.04,0.58,0.58,1.8,1.8,211.76,209.96,209.96
R201637,0.9,1.64,2.17,2.91,111.81,109.639,108.904,0.35,0.89,2.92,3.47,111.813,108.893,108.348
R201718,3,36.64,0.76,34.4,326.2,325.44,291.8,2.92,37.4,0,34.48,326.2,326.2,291.72
R201796,1.38,2.16,2.32,3.1,6.62,4.3,3.52,1.2,2.26,2.19,3.26,6.597,4.403,3.338
R201813,0.62,0.62,3.74,3.74,43.08,39.34,39.34,0.62,0.62,3.7,3.7,43.037,39.34,39.34
R202140,6.22,12.82,0.06,6.66,260.38,260.322,253.72,6.34,12.88,0,6.54,260.38,260.38,253.84
R202156,3.42,7.82,0.08,4.48,162.8,162.722,158.32,2.95,7.9,0,4.95,162.8,162.8,157.85
R202500,1.4,1.4,5.8,5.8,43.8,38,38,1.47,1.47,4.51,4.51,42.583,38.072,38.072
R202579,4.28,4.67,0,0.39,265.666,265.666,265.28,4.29,4.67,0,0.37,265.666,265.666,265.293
R202659,5.28,9.49,0.11,4.31,312.747,312.64,308.435,5.01,9.57,0,4.56,312.72,312.72,308.16
R202845,2.47,8.46,0,5.99,21.56,21.56,15.573,2.98,8.46,0,5.48,21.56,21.56,16.076
R202887,1.52,3.24,0.65,2.37,511.29400000000004,510.64,508.92,1.46,3.37,0,1.91,510.773,510.773,508.863
R202936,1.42,3.68,0,2.26,54.883,54.883,52.625,1.48,3.64,0,2.16,54.844,54.844,52.681
R202943,4.08,8,0,3.92,1131.12,1131.12,1127.2,4.26,8,0,3.74,1131.12,1131.12,1127.377
R202953,1,1.67,9.65,10.32,50.04,40.394,39.72,0.7,1.63,9.84,10.77,50.189,40.346,39.42
R203046,6.06,6.06,0,0,186.26100000000002,186.26000000000002,186.26000000000002,6.06,6.06,0,0,186.261,186.261,186.261
R203150,3.2,47.79,0.21,44.8,84.4,84.189,39.6,3.6,48,-0.1,44.3,84.3,84.4,40
R203168,1.11,2.73,0.32,1.93,48.025999999999996,47.705999999999996,46.093,1.03,2.56,2.19,3.72,49.738,47.544,46.014
R203178,0.96,1.17,1.33,1.54,83.06,81.728,81.52,0.84,1.52,0.89,1.57,82.972,82.085,81.4
R203207,4.38,11.34,0,6.96,25.06,25.06,18.1,4.24,11.32,-0.04,7.04,25,25.04,17.96
R203242,3.6,4.31,2.5,3.21,275.81,273.31,272.6,3.54,4.31,2.83,3.6,276.141,273.31,272.541
