Rec_number,GA.outcome.lat.xx1,MAU.outcome.lat.xx1,Outcome_T.xx1,GA_end_T.xx1,MAU_end_T.xx1,GA.outcome.lat.xx2,MAU.outcome.lat.xx2,Outcome_T.xx2,GA_end_T.xx2,MAU_end_T.xx2
300046,0,3.72,25.62,25.62,21.9,0,2.22,25.63,25.63,23.407
300048,1.29,2.62,27.521,26.229,24.906,0.7,1.95,27.461,26.763,25.514
300054,0.41,0.79,53.72,53.308,52.93,0.13,0.58,53.461,53.328,52.879
300061,0,0.2,37.133,37.133,36.936,-0.6,-0.6,37.118,37.714,37.714
300064,0,2.28,31.78,31.78,29.5,0,2.62,31.849,31.849,29.23
300100,1.32,1.88,123.591,122.27,121.711,2.88,3.06,124.749,121.874,121.684
300172,0,1.21,69.97,69.97,68.76,0,0.86,69.966,69.966,69.108
300211,0,0.35,165.3,165.3,164.947,0,0.27,165.267,165.267,164.993
300214,1.27,5.25,502.2,500.928,496.95,1.17,4.48,502.113,500.942,497.635
300269,0,1.09,6.12,6.12,5.032,0,0.94,5.85,5.85,4.907
300324,0.45,0.45,2.012,1.564,1.564,0.78,0.78,2.232,1.456,1.456
300570,0.69,1.19,32.3,31.605,31.11,0.82,1.31,31.974,31.159,30.665
301003,0,1.18,14.72,14.72,13.545,0,1.1,14.737,14.737,13.64
301038,0,2.72,18.04,18.04,15.32,0,2.44,18.02,18.02,15.578
301186,0.19,1.73,36.59,36.397,34.86,0.24,1.27,36.618,36.377,35.344
301217,-0.32,0.3,6.22,6.54,5.92,-0.04,-0.04,5.878,5.923,5.923
301231,1.62,3.36,12.825,11.206,9.46,1.4,2.8,12.716,11.315,9.911
301481,1.59,3.03,32.267,30.68,29.24,0.63,1.35,31.314,30.68,29.967
301523,0,1.77,72.106,72.106,70.337,0,0.33,71.45,71.45,71.121
301692,10.13,10.37,72.92,62.793,62.555,10.27,10.47,72.959,62.689,62.489
